cor;numero;hora;data;seed_servidor
Red;4;21:17;Dia: 27/01/2023;9rKbLADxl6
Black;11;21:16;Dia: 27/01/2023;XlO50YyP1O
Red;6;21:16;Dia: 27/01/2023;WldVgoao13
Black;14;21:15;Dia: 27/01/2023;elYn5BN9rL
Red;1;21:15;Dia: 27/01/2023;R1p2VXADl5
Red;5;21:14;Dia: 27/01/2023;RkbWvo2nlL
White;0;21:14;Dia: 27/01/2023;EryV8wL41j
Red;6;21:13;Dia: 27/01/2023;AlAm69GdlG
Black;10;21:13;Dia: 27/01/2023;plzXnJ9Y1n
Red;4;21:12;Dia: 27/01/2023;Kl3XDvKDrN
Red;3;21:12;Dia: 27/01/2023;xrMaYbBarQ
White;0;21:11;Dia: 27/01/2023;YrJ3y7md1K
Red;1;21:11;Dia: 27/01/2023;DlZ4KVR71j
Black;14;21:10;Dia: 27/01/2023;6rXBwaGykO
Red;7;21:10;Dia: 27/01/2023;V16GwR2XkB
Black;14;21:09;Dia: 27/01/2023;J1oVQ4Nerd
Black;14;21:09;Dia: 27/01/2023;Arwdz4WY1z
White;0;21:08;Dia: 27/01/2023;ekj6gnO3k9
White;0;21:08;Dia: 27/01/2023;O1BRQAVZ1K
Black;8;21:07;Dia: 27/01/2023;5rVXmwWJkK
Red;7;21:07;Dia: 27/01/2023;w1Da7byYkE
White;0;21:06;Dia: 27/01/2023;J1mvgnLDkj
Black;10;21:06;Dia: 27/01/2023;okgV5npp1y
Red;2;21:05;Dia: 27/01/2023;4lQ7gOeP1n
Red;4;21:05;Dia: 27/01/2023;RlvYnoqQkj
Black;14;21:04;Dia: 27/01/2023;LknD0n9br3
Red;2;21:04;Dia: 27/01/2023;2l4GPvzAkn
Red;2;21:03;Dia: 27/01/2023;Kl5aXMWNl9
Black;12;21:03;Dia: 27/01/2023;blRLgKx21O
Red;3;21:02;Dia: 27/01/2023;V1anzomZke
Black;11;21:02;Dia: 27/01/2023;8kGbgdY91Z
Black;12;21:01;Dia: 27/01/2023;8r22XW0Jrb
Red;2;21:01;Dia: 27/01/2023;erWE5a2pkX
Red;2;21:00;Dia: 27/01/2023;V1qoX4PvlB
Black;11;21:00;Dia: 27/01/2023;Rl8Xo5a9lK
Black;8;20:59;Dia: 27/01/2023;5k0LJ0e3kY
Black;10;20:59;Dia: 27/01/2023;z1xQZw2gkp
Black;13;20:58;Dia: 27/01/2023;V1eKgoyOlo
Black;11;20:58;Dia: 27/01/2023;qlPeodPgrz
Red;7;20:57;Dia: 27/01/2023;dlEaApbwlv
Black;13;20:57;Dia: 27/01/2023;mlN6LpN5lv
Red;6;20:56;Dia: 27/01/2023;M19XD9RorA
Red;5;20:56;Dia: 27/01/2023;ylLz9yL01G
Black;13;20:55;Dia: 27/01/2023;G17zD0GorZ
Red;4;20:55;Dia: 27/01/2023;9rKbLA7xl6
Black;10;20:54;Dia: 27/01/2023;XlO50YEP1O
Red;6;20:54;Dia: 27/01/2023;WldVgoAo13
Red;3;20:53;Dia: 27/01/2023;elYn5Ba9rL
Black;8;20:53;Dia: 27/01/2023;R1p2VXEDl5
Red;6;20:52;Dia: 27/01/2023;RkbWvoDnlL
Black;13;20:52;Dia: 27/01/2023;EryV8wG41j
White;0;20:51;Dia: 27/01/2023;AlAm69DdlG
Red;3;20:51;Dia: 27/01/2023;plzXnJaY1n
Red;1;20:50;Dia: 27/01/2023;Kl3XDv8DrN
Black;10;20:50;Dia: 27/01/2023;xrMaYb9arQ
Black;12;20:49;Dia: 27/01/2023;YrJ3y7Kd1K
Black;14;20:49;Dia: 27/01/2023;DlZ4KVa71j
Red;2;20:48;Dia: 27/01/2023;6rXBwa2ykO
Red;3;20:48;Dia: 27/01/2023;V16GwRqXkB
Black;8;20:47;Dia: 27/01/2023;J1oVQ4jerd
Black;14;20:47;Dia: 27/01/2023;Arwdz4BY1z
Black;14;20:46;Dia: 27/01/2023;ekj6gnB3k9
Black;14;20:46;Dia: 27/01/2023;O1BRQAmZ1K
Red;6;20:45;Dia: 27/01/2023;5rVXmwqJkK
Black;12;20:45;Dia: 27/01/2023;w1Da7bAYkE
Black;10;20:44;Dia: 27/01/2023;J1mvgnZDkj
White;0;20:44;Dia: 27/01/2023;okgV5nBp1y
Red;5;20:43;Dia: 27/01/2023;4lQ7gOPP1n
Black;10;20:43;Dia: 27/01/2023;RlvYnoBQkj
Black;8;20:42;Dia: 27/01/2023;LknD0nBbr3
Black;10;20:42;Dia: 27/01/2023;2l4GPv0Akn
Black;12;20:41;Dia: 27/01/2023;Kl5aXM8Nl9
Red;5;20:41;Dia: 27/01/2023;blRLgKe21O
Red;2;20:40;Dia: 27/01/2023;V1anzogZke
Black;11;20:40;Dia: 27/01/2023;8kGbgdp91Z
Red;6;20:39;Dia: 27/01/2023;8r22XWzJrb
Black;9;20:39;Dia: 27/01/2023;erWE5aWpkX
Red;5;20:38;Dia: 27/01/2023;V1qoX4BvlB
Red;3;20:38;Dia: 27/01/2023;Rl8Xo529lK
Black;10;20:37;Dia: 27/01/2023;5k0LJ0E3kY
Black;13;20:37;Dia: 27/01/2023;z1xQZwXgkp
Black;8;20:36;Dia: 27/01/2023;V1eKgoBOlo
Red;7;20:36;Dia: 27/01/2023;qlPeodEgrz
Black;10;20:35;Dia: 27/01/2023;dlEaApywlv
Black;11;20:35;Dia: 27/01/2023;mlN6Lp95lv
Black;12;20:34;Dia: 27/01/2023;M19XD9GorA
White;0;20:34;Dia: 27/01/2023;ylLz9y701G
Black;10;20:33;Dia: 27/01/2023;G17zD0WorZ
Red;5;20:33;Dia: 27/01/2023;9rKbLAKxl6
White;0;20:32;Dia: 27/01/2023;XlO50YNP1O
Black;12;20:32;Dia: 27/01/2023;WldVgoBo13
White;0;20:31;Dia: 27/01/2023;elYn5BG9rL
Black;14;20:31;Dia: 27/01/2023;R1p2VXBDl5
Black;14;20:30;Dia: 27/01/2023;RkbWvomnlL
Black;10;20:30;Dia: 27/01/2023;EryV8wB41j
Red;5;20:29;Dia: 27/01/2023;AlAm69gdlG
Black;10;20:29;Dia: 27/01/2023;mlN6Lp9dlv
Black;14;20:28;Dia: 27/01/2023;M19XD9GDrA
Red;6;20:28;Dia: 27/01/2023;ylLz9y7z1G
Black;10;20:27;Dia: 27/01/2023;G17zD0WQrZ
Black;8;20:27;Dia: 27/01/2023;9rKbLA0Gl6
Red;1;20:26;Dia: 27/01/2023;XlO50Y2j1O
Black;14;20:26;Dia: 27/01/2023;WldVgo9b13
Black;10;20:25;Dia: 27/01/2023;elYn5BmMrL
Black;8;20:25;Dia: 27/01/2023;R1p2VXaol5
Black;11;20:24;Dia: 27/01/2023;RkbWvo73lL
Red;1;20:24;Dia: 27/01/2023;EryV8wA91j
Black;9;20:23;Dia: 27/01/2023;AlAm69OJlG
Black;14;20:23;Dia: 27/01/2023;plzXnJyR1n
Red;7;20:22;Dia: 27/01/2023;Kl3XDvRKrN
Black;11;20:22;Dia: 27/01/2023;xrMaYbq9rQ
Black;12;20:21;Dia: 27/01/2023;YrJ3y7xO1K
Black;9;20:21;Dia: 27/01/2023;DlZ4KVAA1j
Red;5;20:20;Dia: 27/01/2023;6rXBwagjkO
Black;10;20:20;Dia: 27/01/2023;V16GwRnbkB
Black;12;20:19;Dia: 27/01/2023;J1oVQ4GMrd
Red;5;20:19;Dia: 27/01/2023;Arwdz4gp1z
Black;10;20:18;Dia: 27/01/2023;ekj6gn0Yk9
Red;1;20:18;Dia: 27/01/2023;O1BRQAKd1K
White;0;20:17;Dia: 27/01/2023;5rVXmwvYkK
Black;11;20:17;Dia: 27/01/2023;w1Da7bL4kE
Red;6;20:16;Dia: 27/01/2023;J1mvgnW5kj
Black;12;20:16;Dia: 27/01/2023;okgV5nPx1y
Red;2;20:15;Dia: 27/01/2023;4lQ7gOa01n
Black;13;20:15;Dia: 27/01/2023;RlvYnoQgkj
Black;12;20:14;Dia: 27/01/2023;LknD0n2xr3
Black;9;20:14;Dia: 27/01/2023;2l4GPv54kn
Red;3;20:13;Dia: 27/01/2023;Kl5aXM4ml9
Red;4;20:12;Dia: 27/01/2023;blRLgKR01O
Black;10;20:12;Dia: 27/01/2023;V1anzoK2ke
White;0;20:11;Dia: 27/01/2023;8kGbgdE01Z
Black;9;20:11;Dia: 27/01/2023;8r22XWaMrb
